title,link,group
symbols-and-subsymbols-for-representing-knowledge-a-catalogue-raisonne,https://www.ijcai.org/Proceedings/89-1/Papers/001.pdf,foundations
a-symbol-is-not-a-symbol,https://www.ijcai.org/Proceedings/89-1/Papers/002.pdf,foundations
execution-architectures-and-compilation,https://www.ijcai.org/Proceedings/89-1/Papers/003.pdf,foundations
parallel-iterative-a-search-an-admissible-distributed-heuristic-search-algorithm,https://www.ijcai.org/Proceedings/89-1/Papers/004.pdf,tools
correct-parallel-status-assignment-for-the-reason-maintenance-system,https://www.ijcai.org/Proceedings/89-1/Papers/005.pdf,tools
single-agent-parallel-window-search-a-summary-of-results,https://www.ijcai.org/Proceedings/89-1/Papers/006.pdf,tools
searching-game-trees-in-parallel-using-sss,https://www.ijcai.org/Proceedings/89-1/Papers/007.pdf,tools
platypus-a-constraint-based-reasoning-system,https://www.ijcai.org/Proceedings/89-1/Papers/008.pdf,tools
domain-dependence-in-parallel-constraint-satisfaction,https://www.ijcai.org/Proceedings/89-1/Papers/009.pdf,tools
a-universal-programming-language,https://www.ijcai.org/Proceedings/89-1/Papers/010.pdf,tools
explaining-prolog-based-expert-systems-using-a-layered-meta-lnterpreter,https://www.ijcai.org/Proceedings/89-1/Papers/011.pdf,tools
simulation-of-hybrid-circuits-in-constraint-logic-programming,https://www.ijcai.org/Proceedings/89-1/Papers/012.pdf,tools
a-framework-for-network-modeling-in-prolog,https://www.ijcai.org/Proceedings/89-1/Papers/013.pdf,tools
an-evaluation-of-drete-on-cupid-for-ops5-matching,https://www.ijcai.org/Proceedings/89-1/Papers/014.pdf,tools
the-search-ahead-conflict-resolution-for-parallel-firing-of-production-systems,https://www.ijcai.org/Proceedings/89-1/Papers/015.pdf,tools
a-technique-for-customizing-object-oriented-knowledge-representation-systems-with-an-application-to-network-problem-management,https://www.ijcai.org/Proceedings/89-1/Papers/016.pdf,tools
contexts-dynamic-identification-of-common-parameters-in-distributed-analysis-of-complex-devices,https://www.ijcai.org/Proceedings/89-1/Papers/017.pdf,tools
a-knowledge-based-software-information-system,https://www.ijcai.org/Proceedings/89-1/Papers/018.pdf,tools
chart-parsing-of-flowgraphs,https://www.ijcai.org/Proceedings/89-1/Papers/019.pdf,tools
call-graph-caching-transforming-programs-into-networks,https://www.ijcai.org/Proceedings/89-1/Papers/019A.pdf,tools
a-new-metaphor-for-the-graphical-explanation-of-forward-chaining-rule-execution,https://www.ijcai.org/Proceedings/89-1/Papers/022.pdf,tools
reconstructive-explanation-explanation-as-complex-problem-solving,https://www.ijcai.org/Proceedings/89-1/Papers/023.pdf,tools
adaptation-based-explanation-extending-script-frame-theory-to-handle-novel-input,https://www.ijcai.org/Proceedings/89-1/Papers/024.pdf,tools
a-vectorization-technique-for-prolog-without-explosion,https://www.ijcai.org/Proceedings/89-1/Papers/025.pdf,parallel-and-distributed-processing
unrestricted-and-parallel-execution-of-logic-programs-with-dependency-directed-backtracking,https://www.ijcai.org/Proceedings/89-1/Papers/026.pdf,parallel-and-distributed-processing
a-sequential-view-of-and-parallelism-through-partial-and-processes,https://www.ijcai.org/Proceedings/89-1/Papers/027.pdf,parallel-and-distributed-processing
unsupervised-learning-by-backward-inhibition,https://www.ijcai.org/Proceedings/89-1/Papers/027A.pdf,parallel-and-distributed-processing
on-multi-layered-connectionist-models-adding-layers-vs-increasing-width,https://www.ijcai.org/Proceedings/89-1/Papers/028.pdf,parallel-and-distributed-processing
generation-local-receptive-fields-and-global-convergence-improve-perceptual-learning-in-connectionist-networks,https://www.ijcai.org/Proceedings/89-1/Papers/029.pdf,parallel-and-distributed-processing
beyond-pdp-the-frequency-modulation-neural-network-architecture,https://www.ijcai.org/Proceedings/89-1/Papers/030.pdf,parallel-and-distributed-processing
integrating-knowledge-based-system-and-neural-network-techniques-for-robotic-skill-acquisition,https://www.ijcai.org/Proceedings/89-1/Papers/031.pdf,parallel-and-distributed-processing
experiences-implementing-a-parallel-atms-on-a-shared-memory-multiprocessor,https://www.ijcai.org/Proceedings/89-1/Papers/032.pdf,parallel-and-distributed-processing
