title,main link,supplemental link
maximum-margin-multi-instance-learning,http://papers.nips.cc/paper/4294-maximum-margin-multi-instance-learning.pdf,
shaping-level-sets-with-submodular-functions,http://papers.nips.cc/paper/4457-shaping-level-sets-with-submodular-functions.pdf,
nonlinear-inverse-reinforcement-learning-with-gaussian-processes,http://papers.nips.cc/paper/4420-nonlinear-inverse-reinforcement-learning-with-gaussian-processes.pdf,http://papers.nips.cc/paper/4420-nonlinear-inverse-reinforcement-learning-with-gaussian-processes-supplemental.zip
video-annotation-and-tracking-with-active-learning,http://papers.nips.cc/paper/4233-video-annotation-and-tracking-with-active-learning.pdf,http://papers.nips.cc/paper/4233-video-annotation-and-tracking-with-active-learning-supplemental.zip
on-u-processes-and-clustering-performance,http://papers.nips.cc/paper/4202-on-u-processes-and-clustering-performance.pdf,
penalty-decomposition-methods-for-rank-minimization,http://papers.nips.cc/paper/4235-penalty-decomposition-methods-for-rank-minimization.pdf,
sparse-manifold-clustering-and-embedding,http://papers.nips.cc/paper/4246-sparse-manifold-clustering-and-embedding.pdf,
unifying-non-maximum-likelihood-learning-objectives-with-minimum-kl-contraction,http://papers.nips.cc/paper/4456-unifying-non-maximum-likelihood-learning-objectives-with-minimum-kl-contraction.pdf,
image-parsing-with-stochastic-scene-grammar,http://papers.nips.cc/paper/4236-image-parsing-with-stochastic-scene-grammar.pdf,
a-reinforcement-learning-theory-for-homeostatic-regulation,http://papers.nips.cc/paper/4437-a-reinforcement-learning-theory-for-homeostatic-regulation.pdf,http://papers.nips.cc/paper/4437-a-reinforcement-learning-theory-for-homeostatic-regulation-supplemental.zip
learning-large-margin-halfspaces-with-more-malicious-noise,http://papers.nips.cc/paper/4323-learning-large-margin-halfspaces-with-more-malicious-noise.pdf,
on-strategy-stitching-in-large-extensive-form-multiplayer-games,http://papers.nips.cc/paper/4367-on-strategy-stitching-in-large-extensive-form-multiplayer-games.pdf,
efficient-inference-in-fully-connected-crfs-with-gaussian-edge-potentials,http://papers.nips.cc/paper/4296-efficient-inference-in-fully-connected-crfs-with-gaussian-edge-potentials.pdf,
