title,main link,supplemental link
inferring-elapsed-time-from-stochastic-neural-processes,http://papers.nips.cc/paper/3224-inferring-elapsed-time-from-stochastic-neural-processes.pdf,
fitted-q-iteration-in-continuous-action-space-mdps,http://papers.nips.cc/paper/3233-fitted-q-iteration-in-continuous-action-space-mdps.pdf,
variational-inference-for-diffusion-processes,http://papers.nips.cc/paper/3282-variational-inference-for-diffusion-processes.pdf,http://papers.nips.cc/paper/3282-variational-inference-for-diffusion-processes-supplemental.zip
a-spectral-regularization-framework-for-multi-task-structure-learning,http://papers.nips.cc/paper/3187-a-spectral-regularization-framework-for-multi-task-structure-learning.pdf,
random-sampling-of-states-in-dynamic-programming,http://papers.nips.cc/paper/3350-random-sampling-of-states-in-dynamic-programming.pdf,http://papers.nips.cc/paper/3350-random-sampling-of-states-in-dynamic-programming-supplemental.zip
progressive-mixture-rules-are-deviation-suboptimal,http://papers.nips.cc/paper/3303-progressive-mixture-rules-are-deviation-suboptimal.pdf,
diffrac-a-discriminative-and-flexible-framework-for-clustering,http://papers.nips.cc/paper/3269-diffrac-a-discriminative-and-flexible-framework-for-clustering.pdf,
optimal-roc-curve-for-a-combination-of-classifiers,http://papers.nips.cc/paper/3263-optimal-roc-curve-for-a-combination-of-classifiers.pdf,
adaptive-online-gradient-descent,http://papers.nips.cc/paper/3319-adaptive-online-gradient-descent.pdf,
one-pass-boosting,http://papers.nips.cc/paper/3238-one-pass-boosting.pdf,http://papers.nips.cc/paper/3238-one-pass-boosting-supplemental.zip
comparing-bayesian-models-for-multisensory-cue-combination-without-mandatory-integration,http://papers.nips.cc/paper/3207-comparing-bayesian-models-for-multisensory-cue-combination-without-mandatory-integration.pdf,http://papers.nips.cc/paper/3207-comparing-bayesian-models-for-multisensory-cue-combination-without-mandatory-integration-supplemental.zip
on-sparsity-and-overcompleteness-in-image-models,http://papers.nips.cc/paper/3312-on-sparsity-and-overcompleteness-in-image-models.pdf,
